unique_id,core_id,citing_title,citing_author,cited_title,cited_author,citation_context,citation_class_label
10,W06-1104,a holistic lexiconbased approach to opinion mining,,using information content to evaluate semantic similarity,Philip Resnik,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( Lesk , 1986 ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( #AUTHOR_TAG ; Jiang and Conrath , 1997 ) or distributional ( Weeds and Weir , 2005 ) .",0
11,W05-0709,a holistic lexiconbased approach to opinion mining,,a mentionsynchronous coreference resolution algorithm based on the bell tree,Xiaoqiang Luo,"Both tasks are performed with a statistical framework : the mention detection system is similar to the one presented in ( Florian et al. , 2004 ) and the coreference resolution system is similar to the one described in ( #AUTHOR_TAG ) .",4
12,D08-1007,a holistic lexiconbased approach to opinion mining,,cooccurrence retrieval a flexible framework for lexical distributional similarity,Julie Weeds,The advantage of tuning similarity to the application of interest has been shown previously by #AUTHOR_TAG .,4
13,J91-2003,a holistic lexiconbased approach to opinion mining,,the flow of thought and the flow of languagequot,W L Chafe,"Although there are other discussions of the paragraph as a central element of discourse ( e.g. #AUTHOR_TAG , Halliday and Hasan 1976 , Longacre 1979 , Haberlandt et al. 1980 ) , all of them share a certain limitation in their formal techniques for analyzing paragraph structure .",4
14,W01-0706,a holistic lexiconbased approach to opinion mining,,a linear observed time statistical parser based on maximum entropy models,A Ratnaparkhi,"Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; Charniak , 1997a ; Charniak , 1997b ; #AUTHOR_TAG ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; Buchholz et al. , 1999 ; Tjong Kim Sang and Buchholz , 2000 ) .",0
15,P07-1068,a holistic lexiconbased approach to opinion mining,,unsupervised word sense disambiguation rivaling supervised methods,D Yarowsky,"We experiment with four learners commonly employed in language learning : Decision List ( DL ) : We use the DL learner as described in Collins and Singer ( 1999 ) , motivated by its success in the related tasks of word sense disambiguation ( #AUTHOR_TAG ) and NE classification ( Collins and Singer , 1999 ) .",3
16,P02-1001,a holistic lexiconbased approach to opinion mining,,speech recognition by composition of weighted finite automata,Fernando C N Pereira,"A central technique is to define a joint relation as a noisy-channel model , by composing a joint relation with a cascade of one or more conditional relations as in Fig. 1 ( #AUTHOR_TAG ; Knight and Graehl , 1998 ) .",0
17,D08-1004,a holistic lexiconbased approach to opinion mining,,a sentimental education sentiment analysis using subjectivity summarization based on minimum cuts,B Pang,"We use the same set of binary features as in previous work on this dataset ( Pang et al. , 2002 ; #AUTHOR_TAG ; Zaidan et al. , 2007 ) .",2
18,W06-1639,a holistic lexiconbased approach to opinion mining,,learning from labeled and unlabeled data using graph mincuts,A Blum,"Our classification framework , directly inspired by #AUTHOR_TAG , integrates both perspectives , optimizing its labeling of speech segments based on both individual speech-segment classification scores and preferences for groups of speech segments to receive the same label .",2
19,J13-1008,a holistic lexiconbased approach to opinion mining,,better arabic parsing baselines evaluations and analysis,Spence Green,"As for work on Arabic ( MSA ) , results have been reported on the PATB ( Kulick , Gabbard , and Marcus 2006 ; Diab 2007 ; #AUTHOR_TAG ) , the Prague Dependency Treebank ( PADT ) ( Buchholz and Marsi 2006 ; Nivre 2008 ) and the CATiB ( Habash and Roth 2009 ) .",0
20,J02-3002,a holistic lexiconbased approach to opinion mining,,adaptive multilingual sentence boundary disambiguation,David D Palmer,"For instance , #AUTHOR_TAG report that the SATZ system ( decision tree variant ) was trained on a set of about 800 labeled periods , which corresponds to a corpus of about 16,000 words .",4
21,P11-1134,a holistic lexiconbased approach to opinion mining,,a syntaxbased statistical translation model,Kenji Yamada,"One possible direction is to consider linguistically motivated approaches , such as the extraction of syntactic phrase tables as proposed by ( #AUTHOR_TAG ) .",5
22,N10-1084,a holistic lexiconbased approach to opinion mining,,a method of linguistic steganography based on coladdressallyverified synonym,Igor A Bolshakov,"Later works , such as Atallah et al. ( 2001a ) , #AUTHOR_TAG , Taskiran et al. ( 2006 ) and Topkara et al. ( 2006b ) , further made use of part-ofspeech taggers and electronic dictionaries , such as WordNet and VerbNet , to increase the robustness of the method .",0
23,J86-1002,a holistic lexiconbased approach to opinion mining,,organization and operation of a connected speech understanding system at lexical syntactic and semantic levels,J Haton,"A number of speech understanding systems have been developed during the past fifteen years ( Barnett et al. 1980 , Dixon and Martin 1979 , Erman et al. 1980 , #AUTHOR_TAG , Lea 1980 , Lowerre and Reddy 1980 , Medress 1980 , Reddy 1976 , Walker 1978 , and Wolf and Woods 1980 ) .",4
24,E03-1002,a holistic lexiconbased approach to opinion mining,,discriminative reranking for natural language parsing,Michael Collins,"The bottom panel of table 1 lists the results for the chosen lexicalized model ( SSN-Freq > 200 ) and five recent statistical parsers ( Ratnaparkhi , 1999 ; Collins , 1999 ; Charniak , 2000 ; #AUTHOR_TAG ; Bod , 2001 ) .",4
25,W03-0806,a holistic lexiconbased approach to opinion mining,,investigating gis and smoothing for maximum entropy taggers,James R Curran,"The basic Python reflection has already been implemented and used for large scale experiments with POS tagging , using pyMPI ( a message passing interface library for Python ) to coordinate experiments across a cluster of over 100 machines ( #AUTHOR_TAG ; Clark et al. , 2003 ) .",0
26,P97-1063,a holistic lexiconbased approach to opinion mining,,building probabilistic models for natural language,S Chen,"This imbalance foils thresholding strategies , clever as they might be ( Gale & Church , 1991 ; Wu & Xia , 1994 ; #AUTHOR_TAG ) .",0
27,W01-0706,a holistic lexiconbased approach to opinion mining,,building a large annotated corpus of english the penn treebank,M P Marcus,"Training was done on the Penn Treebank ( #AUTHOR_TAG ) Wall Street Journal data , sections 02-21 .",2
28,P11-1134,a holistic lexiconbased approach to opinion mining,,jlsi a tool for latent semantic indexing software available at httptccitcitresearchtextectoolsresourcesjlsihtml,Claudio Giuliano,We performed Latent Semantic Analysis ( LSA ) over Wikipedia using the jLSI tool ( #AUTHOR_TAG ) to measure the relatedness between words in the dataset .,2
29,D12-1027,a holistic lexiconbased approach to opinion mining,,improved statistical machine translation for resourcepoor languages using related resourcerich languages,Preslav Nakov,"For example , our previous work ( #AUTHOR_TAG ; Nakov and Ng , 2012 ) experimented with various techniques for combining a small bi-text for a resource-poor language ( Indonesian or Spanish , pretending that Spanish is resource-poor ) with a much larger bi-text for a related resource-rich language ( Malay or Portuguese ) ; the target language of all bi-texts was English .",4
30,W06-1104,a holistic lexiconbased approach to opinion mining,,automatic sense disambiguation using machine readable dictionaries how to tell a pine cone from an ice cream cone,Michael Lesk,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( #AUTHOR_TAG ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( Resnik , 1995 ; Jiang and Conrath , 1997 ) or distributional ( Weeds and Weir , 2005 ) .",0
31,D13-1115,a holistic lexiconbased approach to opinion mining,,distributional semantics in technicolor,Elia Bruni,"Another line of research approaches grounded language knowledge by augmenting distributional approaches of word meaning with perceptual information ( Andrews et al. , 2009 ; Steyvers , 2010 ; Feng and Lapata , 2010b ; Bruni et al. , 2011 ; Silberer and Lapata , 2012 ; Johns and Jones , 2012 ; #AUTHOR_TAGa ; Bruni et al. , 2012b ; Silberer et al. , 2013 ) .",0
32,W06-1104,a holistic lexiconbased approach to opinion mining,,using the structure of a conceptual network in computing semantic relatedness,Iryna Gurevych,#AUTHOR_TAG replicated the experiment of Rubenstein and Goodenough with the original 65 word pairs translated into German .,0
33,P00-1012,a holistic lexiconbased approach to opinion mining,,generation that exploits corpusbased statistical knowledge,Irene Langkilde,"One approach to this more general problem , taken by the ` Nitrogen ' generator ( #AUTHOR_TAGa ; Langkilde and Knight , 1998b ) , takes advantage of standard statistical techniques by generating a lattice of all possible strings given a semantic representation as input and selecting the most likely output using a bigram language model .",2
34,W05-0709,a holistic lexiconbased approach to opinion mining,,a maximum entropy approach to natural language processing,A Berger,"where mk is one mention in entity e , and the basic model building block PL ( L = 1 | e , mk , m ) is an exponential or maximum entropy model ( #AUTHOR_TAG ) .",2
35,J09-4010,a holistic lexiconbased approach to opinion mining,,automatic evaluation of summaries using ngram cooccurrence statistics,C Y Lin,"13 We also employed sequence-based measures using the ROUGE tool set ( #AUTHOR_TAG ) , with similar results to those obtained with the word-by-word measures .",2
36,W06-3309,a holistic lexiconbased approach to opinion mining,,cuhtk conversational telephone speech transcription system,Gunnar Evermann,"Second , using continuous distributions allows us to leverage a variety of tools ( e.g. , LDA ) that have been shown to be successful in other fields , such as speech recognition ( #AUTHOR_TAG ) .",0
37,J13-1008,a holistic lexiconbased approach to opinion mining,,an efficient algorithm for easyfirst nondirectional dependency parsing,Yoav Goldberg,"In this section , we validate the contribution of key tag sets and morphological features -- and combinations thereof -- using a different parser : the Easy-First Parser ( #AUTHOR_TAG ) .",2
38,N04-2004,a holistic lexiconbased approach to opinion mining,,english verb classes and alternations a preliminary investigation,Beth Levin,"The typical solution to the redundancy problem is to group verbs according to their argument realization patterns ( #AUTHOR_TAG ) , possibly arranged in an inheritance hierarchy .",4
39,J91-2003,a holistic lexiconbased approach to opinion mining,,coherence and coreferencequot,J R Hobbs,"Later , #AUTHOR_TAG , 1982 ) proposed a knowledge base in which information about language and the world would be encoded , and he emphasized the need for using `` salience '' in choosing facts from this knowledge base .",0
40,W00-1312,a holistic lexiconbased approach to opinion mining,,finding terminology translations from nonparallel corporaquot,P Fung,Another technique is automatic discovery of translations from parallel or non-parallel corpora ( #AUTHOR_TAG ) .,0
41,W04-1805,a holistic lexiconbased approach to opinion mining,,learning semantic lexicons from a partofspeech and semantically tagged corpus using inductive logic programming,Vincent Claveau,ASARES is presented in detail in ( #AUTHOR_TAG ) .,2
42,J91-2003,a holistic lexiconbased approach to opinion mining,,cohesion in english,M A K Halliday,"Opposition ( called `` adversative '' or `` contrary-to-expectation '' by #AUTHOR_TAG ; cfXXX also Quirk et al. 1972 , p. 672 ) .",0
43,W04-1805,a holistic lexiconbased approach to opinion mining,,structures mathematiques du langage,Zellig Harris,A number of applications have relied on distributional analysis ( #AUTHOR_TAG ) in order to build classes of semantically related terms .,0
44,J13-1008,a holistic lexiconbased approach to opinion mining,,parsing indian languages with maltparser,Joakim Nivre,"Previous work with MaltParser in Russian , Turkish , and Hindi showed gains with CASE but not with agreement features ( Eryigit , Nivre , and Oflazer 2008 ; Nivre , Boguslavsky , and Iomdin 2008 ; #AUTHOR_TAG ) .",4
45,J97-4003,a holistic lexiconbased approach to opinion mining,,of csli lecture notes center for the study of language and information,Carl Pollard,"Consider , for example , the lexical rule in Figure 2 , which encodes a passive lexical rule like the one presented by #AUTHOR_TAG , 215 ) in terms of the setup of Pollard and Sag ( 1994 , ch .",4
46,J09-4010,a holistic lexiconbased approach to opinion mining,,detection of questionanswer pairs in email conversations,L Shrestha,"Two applications that , like help-desk , deal with question -- answer pairs are : summarization of e-mail threads ( Dalli , Xia , and Wilks 2004 ; #AUTHOR_TAG ) , and answer extraction in FAQs ( Frequently Asked Questions ) ( Berger and Mittal 2000 ;",4
47,D13-1115,a holistic lexiconbased approach to opinion mining,,describing objects by their attributes,Ali Farhadi,"The language grounding problem has received significant attention in recent years , owed in part to the wide availability of data sets ( e.g. Flickr , Von Ahn ( 2006 ) ) , computing power , improved computer vision models ( Oliva and Torralba , 2001 ; Lowe , 2004 ; #AUTHOR_TAG ; Parikh and Grauman , 2011 ) and neurological evidence of ties between the language , perceptual and motor systems in the brain ( Pulverm Â¨ uller et al. , 2005 ; Tettamanti et al. , 2005 ; Aziz-Zadeh et al. , 2006 ) .",0
48,Q13-1020,a holistic lexiconbased approach to opinion mining,,a gibbs sampler for phrasal synchronous grammar induction,Phil Blunsom,"In addition , we find that the Bayesian SCFG grammar can not even significantly outperform the heuristic SCFG grammar ( #AUTHOR_TAG ) 5 .",4
49,W01-1510,a holistic lexiconbased approach to opinion mining,,a lexicalized tree adjoining grammar for english,The XTAG Research Group,"There are several grammars developed in the FB-LTAG formalism , including the XTAG English grammar , a large-scale grammar for English ( The XTAG Research #AUTHOR_TAG ) .",0
50,A00-2022,a holistic lexiconbased approach to opinion mining,,a bag of useful techniques for efficient and robust parsing,B Kiefer,"Although the approach may have potential , the shifting of complex accounting into the unification algorithm is at variance with the findings of #AUTHOR_TAG , who report large speed-ups from the elimination of disjunction processing during unification .",4
51,J10-3007,a holistic lexiconbased approach to opinion mining,,annealing structural bias in multilingual weighted grammar induction,Noah A Smith,"For the task of unsupervised dependency parsing , #AUTHOR_TAG add a constraint of the form `` the average length of dependencies should be X '' to capture the locality of syntax ( at least half of the dependencies are between adjacent words ) , using a scheme they call structural annealing .",0
52,A00-1016,a holistic lexiconbased approach to opinion mining,,commandtalk a spokenlanguage interface for battlefield simulations,R Moore,"The speech and language processing architecture is based on that of the SRI CommandTalk system ( #AUTHOR_TAG ; Stent et a. , 1999 ) .",2
53,P11-1134,a holistic lexiconbased approach to opinion mining,,syntacticsemantic structures for textual entailment recognition,Yashar Mehdad,"Second , in line with the findings of ( #AUTHOR_TAG ) , the results obtained over the MT-derived corpus are equal to those we achieve over the original RTE3 dataset ( i.e. 63.50 % ) .",4
54,W06-1104,a holistic lexiconbased approach to opinion mining,,computing semantic relatedness across parts of speech,Iryna Gurevych,"Therefore , inter-subject correlation is lower than the results obtained by #AUTHOR_TAG .",4
55,N04-2004,a holistic lexiconbased approach to opinion mining,,building verb meanings,Malka Rappaport Hovav,"There is a general consensus among theoretical linguists that the proper representation of verbal argument structure is event structure -- representations grounded in a theory of events that decompose semantic roles in terms of primitive predicates representing concepts such as causality and inchoativity ( Dowty , 1979 ; Jackendoff , 1983 ; Pustejovsky , 1991b ; Rappaport #AUTHOR_TAG ) .",0
56,J00-4001,a holistic lexiconbased approach to opinion mining,,robust text processing in automated information retrieval,Tornek Strzalkowski,"For example , some similar measures have been used in stylistic experiments in information retrieval on the basis of a robust parser built for information retrieval purposes ( #AUTHOR_TAG ) .",0
57,D08-1039,a holistic lexiconbased approach to opinion mining,,word triggers and the em algorithm,Christoph Tillmann,"The resulting training procedure is analogous to the one presented in ( Brown et al. , 1993 ) and ( #AUTHOR_TAG ) .",4
58,J92-1004,a holistic lexiconbased approach to opinion mining,,integration of speech recognition and natural language processing in the mit voyager systemquot,V Zue,"successfully parses , or until a quitting criterion is reached , such as an upper bound on N. Whereas in the loosely coupled system the parser acts as a filter only on completed candidate solutions ( #AUTHOR_TAG ) , the tightly coupled system allows the parser to discard partial theories that have no way of continuing .",2
59,Q13-1020,a holistic lexiconbased approach to opinion mining,,syntax augmented machine translation via chart parsing,Andreas Zollmann,#AUTHOR_TAG substituted the non-terminal X in hierarchical phrase-based model by extended syntactic categories .,4
60,J01-4001,a holistic lexiconbased approach to opinion mining,,toward a computational theory of definite anaphora comprehension in english,Candace Sidner,"Much of the earlier work in anaphora resolution heavily exploited domain and linguistic knowledge ( #AUTHOR_TAG ; Carter 1987 ; Rich and LuperFoy 1988 ; Carbonell and Brown 1988 ) , which was difficult both to represent and to process , and which required considerable human input .",0
61,W06-2807,a holistic lexiconbased approach to opinion mining,,the wiki way  quick collaboration on the web,Ward Cunningham,"The paradigm is `` write many , read many '' ( #AUTHOR_TAG ) .",0
62,P10-2059,a holistic lexiconbased approach to opinion mining,,praat doing phonetics by computer retrieved,Paul Boersma,The Praat tool was used ( #AUTHOR_TAG ) .,2
63,J06-2002,a holistic lexiconbased approach to opinion mining,,two theories about adjectives,Hans Kamp,"2 The reader is asked to focus on any reasonable size measurement , for example , the maximal horizontal or vertical distance , or some combination of dimensions ( #AUTHOR_TAG ; also Section 8.1 of the present article ) .",0
64,W03-0806,a holistic lexiconbased approach to opinion mining,,investigating gis and smoothing for maximum entropy taggers,James R Curran,"The implementation has been inspired by experience in extracting information from very large corpora ( Curran and Moens , 2002 ) and performing experiments on maximum entropy sequence tagging ( #AUTHOR_TAG ; Clark et al. , 2003 ) .",3
65,W06-1639,a holistic lexiconbased approach to opinion mining,,optimizing to arbitrary nlp metrics using ensemble selection,A Munson,"Default parameters were used , although experimentation with different parameter settings is an important direction for future work ( Daelemans and Hoste , 2002 ; #AUTHOR_TAG ) .",5
66,K15-1002,a holistic lexiconbased approach to opinion mining,,a constrained latent variable model for coreference resolution,K-W Chang,Our work is inspired by the latent left-linking model in #AUTHOR_TAG and the ILP formulation from Chang et al. ( 2011 ) .,2
67,W06-3309,a holistic lexiconbased approach to opinion mining,,the interaction of domain knowledge and linguistic structure in natural language processing interpreting hypernymic propositions in biomedical text,Thomas C Rindflesch,"Furthermore , the availability of rich ontological resources , in the form of the Unified Medical Language System ( UMLS ) ( Lindberg et al. , 1993 ) , and the availability of software that leverages this knowledge -- MetaMap ( Aronson , 2001 ) for concept identification and SemRep ( #AUTHOR_TAG ) for relation extraction -- provide a foundation for studying the role of semantics in various tasks .",0
68,J00-2001,a holistic lexiconbased approach to opinion mining,,generating natural language linder pragmatic constraints lawrence erlbaum,Eduard H Hovy,"The names given to the components vary ; they have been called `` strategic '' and `` tactical '' components ( e.g. , McKeown 1985 ; Thompson 1977 ; Danlos 1987 ) 1 , `` planning '' and `` realization '' ( e.g. , McDonald 1983 ; #AUTHOR_TAGa ) , or simply `` what to say '' versus `` how to say it '' ( e.g. , Danlos 1987 ; Reithinger 1990 ) .",0
69,P10-4003,a holistic lexiconbased approach to opinion mining,,towards modelling and using common ground in tutorial dialogue,Mark Buckley,"Over the last decade there has been a lot of interest in developing tutorial dialogue systems that understand student explanations ( Jordan et al. , 2006 ; Graesser et al. , 1999 ; Aleven et al. , 2001 ; #AUTHOR_TAG ; Nielsen et al. , 2008 ; VanLehn et al. , 2007 ) , because high percentages of selfexplanation and student contentful talk are known to be correlated with better learning in humanhuman tutoring ( Chi et al. , 1994 ; Litman et al. , 2009 ; Purandare and Litman , 2008 ; Steinhauser et al. , 2007 ) .",0
70,P10-4003,a holistic lexiconbased approach to opinion mining,,deep linguistic processing for spoken dialogue systems,James Allen,We use the TRIPS dialogue parser ( #AUTHOR_TAG ) to parse the utterances .,2
71,J09-4010,a holistic lexiconbased approach to opinion mining,,evaluation of a largescale email response system,Y Marom,"In order to address these limitations in a practical way , we conducted a small user study where we asked four judges ( graduate students from the Faculty of Information Technology at Monash University ) to assess the responses generated by our system ( #AUTHOR_TAGa ) .",2
72,W00-1017,a holistic lexiconbased approach to opinion mining,,understanding unsegmented user utterances in realtime spoken dialogue systems,Mikio Nakano,"The understanding module utilizes ISSS ( Incremental Significant-utterance Sequence Search ) ( #AUTHOR_TAGb ) , which is an integrated parsing and discourse processing method .",2
73,W01-1510,a holistic lexiconbased approach to opinion mining,,a lexicalized tree adjoining grammar for english,The XTAG Research Group,"We applied our system to the XTAG English grammar ( The XTAG Research #AUTHOR_TAG ) 3 , which is a large-scale FB-LTAG grammar for English .",2
74,P11-1134,a holistic lexiconbased approach to opinion mining,,fluency adequacy or hter exploring different human judgments with a tunable mt metric,Matthew Snover,"After the extraction , pruning techniques ( #AUTHOR_TAG ) can be applied to increase the precision of the extracted paraphrases .",0
75,D09-1053,a holistic lexiconbased approach to opinion mining,,language model adaptation with map estimation and the perceptron algorithm,M Bacchiani,"In this paper , we extend two classes of model adaptation methods ( i.e. , model interpolation and error-driven learning ) , which have been well studied in statistical language modeling for speech and natural language applications ( e.g. , #AUTHOR_TAG ; Bellegarda , 2004 ; Gao et al. , 2006 ) , to ranking models for Web search applications .",0
76,W03-0806,a holistic lexiconbased approach to opinion mining,,software architecture for language engineering,Hamish Cunningham,GATE goes beyond earlier systems by using a component-based infrastructure ( #AUTHOR_TAG ) which the GUI is built on top of .,0
77,J91-2003,a holistic lexiconbased approach to opinion mining,,languages with self reference i foundationsquot,D Perlis,"Since sentences can refer to events described by other sentences , we may need also a quotation operator ; #AUTHOR_TAG describes how first order logic can be augmented with such an operator .",0
78,P10-4003,a holistic lexiconbased approach to opinion mining,,interpretation and generation in a knowledgebased tutorial system,Myroslava O Dzikovska,"The system uses a knowledge base implemented in the KM representation language ( Clark and Porter , 1999 ; #AUTHOR_TAG ) to represent the state of the world .",2
79,W11-0218,a holistic lexiconbased approach to opinion mining,,boosting precision and recall of dictionarybased protein name recognition,Y Tsuruoka,A possible future direction would be to compare the query string to retrieved results using a method similar to that of #AUTHOR_TAG .,5
80,J97-4003,a holistic lexiconbased approach to opinion mining,,towards a semantics for lexical rules as used in hpsg,Detmar Meurers,description-level lexical rules ( DLRs ; #AUTHOR_TAG ) .5 2.2.1 Meta-Level Lexical Rules .,0
81,J03-3004,a holistic lexiconbased approach to opinion mining,,a framework of a mechanical translation between japanese and english by analogy principle,Makoto Nagao,"All EBMT systems , from the initial proposal by #AUTHOR_TAG to the recent collection of Carl and Way ( 2003 ) , are premised on the availability of subsentential alignments derived from the input bitext .",0
82,J91-2003,a holistic lexiconbased approach to opinion mining,,resolving pronoun referencesquot,J R Hobbs,"The necessity of this kind of merging of arguments has been recognized before : Charniak and McDermott ( 1985 ) call it abductive unification/matching , #AUTHOR_TAG , 1979 ) refers to such operations using the terms knitting or petty conversational implicature .",0
83,J97-4003,a holistic lexiconbased approach to opinion mining,,featurebased inheritance networks for computational lexicons,Hans-Ulrich Krieger,"In a number of proposals , lexical generalizations are captured using lexical underspecification ( Kathol 1994 ; #AUTHOR_TAG ;",4
84,P07-1068,a holistic lexiconbased approach to opinion mining,,automatic acquisition of hyponyms from large text corpora,M Hearst,"These keywords are potentially useful features because some of them are subclasses of the ACE SCs shown in the left column of Table 1 , while others appear to be correlated with these ACE SCs .2 ( 6 ) INDUCED CLASS : Since the first-sense heuristic used in the previous feature may not be accurate in capturing the SC of an NP , we employ a corpusbased method for inducing SCs that is motivated by research in lexical semantics ( e.g. , #AUTHOR_TAG ) .",3
85,J91-2003,a holistic lexiconbased approach to opinion mining,,episodes as chunks in narrative memoryquot,J B Black,Other psycholing-uistic studies that confirm the validity of paragraph units can be found in #AUTHOR_TAG and Haberlandt et al. ( 1980 ) .,0
86,E03-1002,a holistic lexiconbased approach to opinion mining,,what is the minimal set of fragments that achieves maximal parse accuracy,Rens Bod,"The bottom panel of table 1 lists the results for the chosen lexicalized model ( SSN-Freq > 200 ) and five recent statistical parsers ( Ratnaparkhi , 1999 ; Collins , 1999 ; Charniak , 2000 ; Collins , 2000 ; #AUTHOR_TAG ) .",4
87,D09-1056,a holistic lexiconbased approach to opinion mining,,irstbp web people search using name entities,Octavian Popescu,"Nevertheless , the full document text is present in most systems , sometimes as the only feature ( Sugiyama and Okumura , 2007 ) and sometimes in combination with others see for instance ( Chen and Martin , 2007 ; #AUTHOR_TAG ) - .",0
88,P00-1007,a holistic lexiconbased approach to opinion mining,,a maximumentropy partial parser for unrestricted text,W Skut,"In a similar vain to #AUTHOR_TAG and Buchholz et al. ( 1999 ) , the method extends an existing flat shallow-parsing method to handle composite structures .",5
89,P07-1068,a holistic lexiconbased approach to opinion mining,,using semantic relations to refine coreference decisions,H Ji,"As a result , researchers have re-adopted the once-popular knowledge-rich approach , investigating a variety of semantic knowledge sources for common noun resolution , such as the semantic relations between two NPs ( e.g. , #AUTHOR_TAG ) , their semantic similarity as computed using WordNet ( e.g. , Poesio et al. ( 2004 ) ) or Wikipedia ( Ponzetto and Strube , 2006 ) , and the contextual role played by an NP ( see Bean and Riloff ( 2004 ) ) .",0
90,P08-1101,a holistic lexiconbased approach to opinion mining,,chinese segmentation with a wordbased perceptron algorithm,Yue Zhang,"We built a two-stage baseline system , using the perceptron segmentation model from our previous work ( #AUTHOR_TAG ) and the perceptron POS tagging model from Collins ( 2002 ) .",1
91,J07-1005,a holistic lexiconbased approach to opinion mining,,the nlm indexing initiative’s medical text indexer,Alan R Aronson,"Note that although our current system uses MeSH headings assigned by human indexers , manually assigned terms can be replaced with automatic processing if needed ( #AUTHOR_TAG ) .",5
92,W02-0309,a holistic lexiconbased approach to opinion mining,,the semantic structure of neoclassical compounds,A McCray,"Furthermore , medical terminology is characterized by a typical mix of Latin and Greek roots with the corresponding host language ( e.g. , German ) , often referred to as neo-classical compounding ( #AUTHOR_TAG ) .",0
