unique_id,core_id,citing_title,citing_author,cited_title,cited_author,citation_context,citation_class_label
10,P06-1012,a holistic lexiconbased approach to opinion mining,,an empirical evaluation of knowledge sources and learning algorithms for word sense disambiguation,Yoong Keok Lee,"Similar to our previous work ( Chan and Ng , 2005b ) , we used the supervised WSD approach described in ( #AUTHOR_TAG ) for our experiments , using the naive Bayes algorithm as our classifier .",2
11,D14-1076,a holistic lexiconbased approach to opinion mining,,document summarization via guided sentence compression,Chen Li,"Similar to ( #AUTHOR_TAGa ) , our summarization system is , which consists of three key components : an initial sentence pre-selection module to select some important sentence candidates ; the above compression model to generate n-best compressions for each sentence ; and then an ILP summarization method to select the best summary sentences from the multiple compressed sentences .",4
12,J05-3003,a holistic lexiconbased approach to opinion mining,,natural language parsing as statistical pattern recognition,David Magerman,"The extraction procedure consists of three steps : First , the bracketing of the trees in the Penn Treebank is corrected and extended based on the approaches of #AUTHOR_TAG and Collins ( 1997 ) .",0
13,D11-1138,a holistic lexiconbased approach to opinion mining,,algorithms for deterministic incremental dependency parsing,J Nivre,transition-based dependency parsing framework ( #AUTHOR_TAG ) using an arc-eager transition strategy and are trained using the perceptron algorithm as in Zhang and Clark ( 2008 ) with a beam size of 8 .,2
14,J10-3007,a holistic lexiconbased approach to opinion mining,,paraphrasing with bilingual parallel corpora,Colin Bannard,"But their importance has grown far beyond machine translation : for instance , transferring annotations between languages ( Yarowsky and Ngai 2001 ; Hwa et al. 2005 ; Ganchev , Gillenwater , and Taskar 2009 ) ; discovery of paraphrases ( #AUTHOR_TAG ) ; and joint unsupervised POS and parser induction across languages ( Snyder and Barzilay 2008 ) .",3
15,J07-1005,a holistic lexiconbased approach to opinion mining,,modern information retrieval,Ricardo Baeza-Yates,each relevant document is retrieved ( #AUTHOR_TAG ) .,2
16,W06-3309,a holistic lexiconbased approach to opinion mining,,categorization of sentence types in medical abstracts,Larry McKnight,#AUTHOR_TAG have previously examined the task of categorizing sentences in medical abstracts using supervised discriminative machine learning techniques .,0
17,W00-1017,a holistic lexiconbased approach to opinion mining,,implementation of coordinative nodding behavior on spoken dialogue systems,Jun-ichi Hirasawa,"This recognizer incrementally outputs word hypotheses as soon as they are found in the best-scored path in the forward search ( #AUTHOR_TAG ) using the ISTAR ( Incremental Structure Transmitter And Receiver ) protocol , which conveys word graph information as well as word hypotheses .",0
18,W00-1017,a holistic lexiconbased approach to opinion mining,,the philips automatic train timetable information system,Harald Aust,"The recent great advances in speech and language technologies have made it possible to build fully implemented spoken dialogue systems ( #AUTHOR_TAG ; Allen et al. , 1996 ; Zue et al. , 2000 ; Walker et al. , 2000 ) .",0
19,J09-4010,a holistic lexiconbased approach to opinion mining,,decision graphs—an extension of decision trees,J J Oliver,"We posit that this would not have a significant effect on the results , in particular for MML-based classification techniques , such as Decision Graphs ( #AUTHOR_TAG ) .",0
20,E03-1005,a holistic lexiconbased approach to opinion mining,,new ranking algorithms for parsing and tagging kernels over discrete structures and the voted perceptron,M Collins,"#AUTHOR_TAG showed how the perceptron algorithm can be used to efficiently compute the best parse with DOP1 's subtrees , reporting a 5.1 % relative reduction in error rate over the model in Collins ( 1999 ) on the WSJ .",0
21,W01-1510,a holistic lexiconbased approach to opinion mining,,translating the xtag english grammar to hpsg,Yuka Tateisi,Tateisi et al. also translated LTAG into HPSG ( #AUTHOR_TAG ) .,4
22,P05-3005,a holistic lexiconbased approach to opinion mining,,dr introducing refseq and locuslink curated human genome resources at the ncbi trends genet,Pruitt KD,"The system utilizes several large size biological databases including three NCBI databases ( GenPept [ 11 ] , RefSeq #AUTHOR_TAG , and Entrez GENE [ 13 ] ) , PSD database from Protein Information Resources ( PIR ) [ 14 ] , and",2
23,E12-1068,a holistic lexiconbased approach to opinion mining,,srilm  an extensible language modeling toolkit,Andreas Stolcke,The LM uses the monolingual data and is trained as a five-gram9 using the SRILM-Toolkit ( #AUTHOR_TAG ) .,2
24,W06-1639,a holistic lexiconbased approach to opinion mining,,extracting policy positions from political texts using words as data american political science review,M Laver,"There has also been work focused upon determining the political leaning ( e.g. , `` liberal '' vs. `` conservative '' ) of a document or author , where most previously-proposed methods make no direct use of relationships between the documents to be classified ( the `` unlabeled '' texts ) ( #AUTHOR_TAG ; Efron , 2004 ; Mullen and Malouf , 2006 ) .",0
25,J86-1002,a holistic lexiconbased approach to opinion mining,,the harpy speech understanding system in lea,B Lowerre,"A number of speech understanding systems have been developed during the past fifteen years ( Barnett et al. 1980 , Dixon and Martin 1979 , Erman et al. 1980 , Haton and Pierrel 1976 , Lea 1980 , #AUTHOR_TAG , Medress 1980 , Reddy 1976 , Walker 1978 , and Wolf and Woods 1980 ) .",4
26,J91-2003,a holistic lexiconbased approach to opinion mining,,logic and conversationquot,H P Grice,"Secondly , the cooperative principle of #AUTHOR_TAG , 1978 ) , under the assumption that referential levels of a writer and a reader are quite similar , implies that the writer should structure the text in a way that makes the construction of his intended model easy for the reader ; and this seems to imply that he should appeal only to the most direct knowledge of the reader .",3
27,J05-3003,a holistic lexiconbased approach to opinion mining,,tree adjoining grammars in,Aravind Joshi,"In modern syntactic theories ( e.g. , lexical-functional grammar [ LFG ] [ Kaplan and Bresnan 1982 ; Bresnan 2001 ; Dalrymple 2001 ] , head-driven phrase structure grammar [ HPSG ] [ Pollard and Sag 1994 ] , tree-adjoining grammar [ TAG ] [ #AUTHOR_TAG ] , and combinatory categorial grammar [ CCG ] [ Ades and Steedman 1982 ] ) , the lexicon is the central repository for much morphological , syntactic , and semantic information .",0
28,D12-1037,a holistic lexiconbased approach to opinion mining,,svmknn discriminative nearest neighbor classification for visual category recognition,Hao Zhang,"In this paper , inspired by KNN-SVM ( #AUTHOR_TAG ) , we propose a local training method , which trains sentence-wise weights instead of a single weight , to address the above two problems .",3
29,W04-1805,a holistic lexiconbased approach to opinion mining,,wordsketch extraction and display of significant collocations for lexicography,Adam Kilgarriff,"1990 ) , on linguisitic acquisition ( by the use of Part-of-Speech filters hand-crafted by a linguist ) ( Oueslati , 1999 ) or , more frequently , on a combination of the two ( Smadja , 1993 ; #AUTHOR_TAG , for example ) .",4
30,J00-2014,a holistic lexiconbased approach to opinion mining,,comparing a linguistic and a stochastic tagger,Christer Samuelsson,"#AUTHOR_TAG report excellent part-of-speech tagging results using a handcrafted approach that is close to OT .3 More speculatively , imagine an OT grammar for stylistic revision of parsed sentences .",0
31,W04-0910,a holistic lexiconbased approach to opinion mining,,an open source grammar development environment and broadcoverage english grammar using hpsg,Ann Copestake,"Thus for instance , ( #AUTHOR_TAG ; Copestake et al. , 2001 ) describes a Head Driven Phrase Structure Grammar ( HPSG ) which supports the parallel construction of a phrase structure ( or derived ) tree and of a semantic representation and ( Dalrymple , 1999 ) show how to equip Lexical Functional grammar ( LFG ) with a glue semantics .",0
32,J05-3003,a holistic lexiconbased approach to opinion mining,,lexical functional grammar volume 34 of syntax and semantics,Mary Dalrymple,"While many linguistic theories state subcategorization requirements in terms of phrase structure ( CFG categories ) , #AUTHOR_TAG questions the viability and universality of such an approach because of the variety of ways in which grammatical functions may be realized at the language-specific constituent structure level .",0
33,J91-2003,a holistic lexiconbased approach to opinion mining,,coherence and coreferencequot,J R Hobbs,"We are going to make such a comparison with the theories proposed by J. #AUTHOR_TAG , 1982 ) that represent a more computationally oriented approach to coherence , and those of T.A. van Dijk and W. Kintch ( 1983 ) , who are more interested in addressing psychological and cognitive aspects of discourse coherence .",4
34,Q13-1020,a holistic lexiconbased approach to opinion mining,,a wordclass approach to labeling pscfg rules for machine translation,Andreas Zollmann,"11 From ( #AUTHOR_TAG ) , we find that the performance of SAMT system is similar with the method of labeling SCFG rules with POS tags .",3
35,J87-3002,a holistic lexiconbased approach to opinion mining,,processing dictionary definitions with phrasal pattern hierarchies in this issue,Hiyan Alshawi,In this paper we focus on the exploitation of the LDOCE grammar coding system ; Alshawi et al. ( 1985 ) and #AUTHOR_TAG describe further research in Cambridge utilising different types of information available in LDOCE .,0
36,W06-1104,a holistic lexiconbased approach to opinion mining,,computing semantic relatedness across parts of speech,Iryna Gurevych,#AUTHOR_TAG observed that some annotators were not familiar with the exact definition of semantic relatedness .,3
37,P11-1134,a holistic lexiconbased approach to opinion mining,,tree edit distance for textual entailment,Milen Kouleykov,"All current approaches to monolingual TE , either syntactically oriented ( Rus et al. , 2005 ) , or applying logical inference ( Tatu and Moldovan , 2005 ) , or adopting transformation-based techniques ( #AUTHOR_TAG ; Bar-Haim et al. , 2008 ) , incorporate different types of lexical knowledge to support textual inference .",0
38,J07-1005,a holistic lexiconbased approach to opinion mining,,formulating the question,Andrew Booth,"Although originally developed as a tool to assist in query formulation , #AUTHOR_TAG pointed out that PICO frames can be employed to structure IR results for improving precision .",0
39,W02-0309,a holistic lexiconbased approach to opinion mining,,how effective is suffixing,D Harman,"There has been some controversy , at least for simple stemmers ( Lovins , 1968 ; Porter , 1980 ) , about the effectiveness of morphological analysis for document retrieval ( #AUTHOR_TAG ; Krovetz , 1993 ; Hull , 1996 ) .",0
40,E03-1002,a holistic lexiconbased approach to opinion mining,,towards historybased grammars using richer models for probabilistic parsing,E Black,"in history-based models ( #AUTHOR_TAG ) , the probability estimate for each derivation decision di is conditioned on the previous derivation decisions d1 , ... , d , _ 1 , which is called the derivation history at step i .",2
41,J97-4003,a holistic lexiconbased approach to opinion mining,,offline constraint propagation for efficient hpsg processing,Detmar Meurers,The reader is referred to #AUTHOR_TAG for a more detailed discussion of our use of constraint propagation .32 We illustrate the result of constraint propagation with our example grammar .,0
42,P02-1001,a holistic lexiconbased approach to opinion mining,,translation with finitestate devices,Kevin Knight,"Such tools make it easy to run most current approaches to statistical markup , chunking , normalization , segmentation , alignment , and noisy-channel decoding , ' including classic models for speech recognition ( Pereira and Riley , 1997 ) and machine translation ( #AUTHOR_TAG ) .",0
43,J09-4010,a holistic lexiconbased approach to opinion mining,,knowledge harvesting articulation and delivery the hewlettpackard journal,K A Delic,"Such technologies require significant human input , and are difficult to create and maintain ( #AUTHOR_TAG ) .",0
44,K15-1003,a holistic lexiconbased approach to opinion mining,,weaklysupervised bayesian learning of a ccg supertagger,Dan Garrette,We can define PCAT using a probabilistic grammar ( #AUTHOR_TAG ) .,0
45,W05-0709,a holistic lexiconbased approach to opinion mining,,trec2001 crosslingual retrieval at bbn,J Xu,"It is these orthographic variations and complex morphological structure that make Arabic language processing challenging ( #AUTHOR_TAG ; Xu et al. , 2002 ) .",0
46,W01-0706,a holistic lexiconbased approach to opinion mining,,introduction to the conll2000 shared task chunking,E F Tjong Kim Sang,The first is the one used in the chunking competition in CoNLL-2000 ( Tjong Kim #AUTHOR_TAG ) .,2
47,W01-1510,a holistic lexiconbased approach to opinion mining,,hybrid japanese parser with handcrafted grammar and statistics,Hiroshi Kanayama,"There have been many studies on parsing techniques ( Poller and Becker , 1998 ; Flickinger et al. , 2000 ) , ones on disambiguation models ( Chiang , 2000 ; #AUTHOR_TAG ) , and ones on programming/grammar-development environ -",0
48,W06-3309,a holistic lexiconbased approach to opinion mining,,semiautomatic indexing of full text biomedical articles,Clifford W Gay,"For example , #AUTHOR_TAG experimented with abstracts and full article texts in the task of automatically generating index term recommendations and discovered that using full article texts yields at most a 7.4 % improvement in F-score .",0
49,W04-1805,a holistic lexiconbased approach to opinion mining,,two methods for extracting quotspecificquot singleword terms from specialized corpora,Chantal Lemay,"The ten most specific nouns have been produced by comparing our corpus of computing to the French corpus Le Monde , composed of newspaper articles ( #AUTHOR_TAG ) .",2
50,W06-1705,a holistic lexiconbased approach to opinion mining,,facilitating the compilation and dissemination of adhoc web corpora,W H Fletcher,"Secondly , we need to investigate techniques for identifying identical documents , virtually identical documents and highly repetitive documents , such as those pioneered by #AUTHOR_TAGb ) and shingling techniques described by Chakrabarti ( 2002 ) .",5
51,E12-1068,a holistic lexiconbased approach to opinion mining,,productive generation of compound words in statistical machine translation,Sara Stymne,"Following the work of #AUTHOR_TAG , we implement a linear-chain CRF merging system using the following features : stemmed ( separated ) surface form , part-of-speech14 and frequencies from the training corpus for bigrams/merging of word and word +1 , word as true prefix , word +1 as true suffix , plus frequency comparisons of these .",2
52,J05-3003,a holistic lexiconbased approach to opinion mining,,automatic acquisition of a large subcategorisation dictionary from corpora,Christopher Manning,#AUTHOR_TAG attempts to improve on the approach of Brent ( 1993 ) by passing raw text through a stochastic tagger and a finite-state parser ( which includes a set of simple rules for subcategorization frame recognition ) in order to extract verbs and the constituents with which they co-occur .,0
53,W02-0309,a holistic lexiconbased approach to opinion mining,,morphosemantic parsing of medical expressions,R Baud,"From an IR view , a lot of specialized research has already been carried out for medical applications , with emphasis on the lexico-semantic aspects of dederivation and decomposition ( Pacak et al. , 1980 ; Norton and Pacak , 1983 ; Wolff , 1984 ; Wingert , 1985 ; Dujols et al. , 1991 ; #AUTHOR_TAG ) .",0
54,W01-0706,a holistic lexiconbased approach to opinion mining,,cooccurrence and transformation in linguistic structure,Z S Harris,"Rather than producing a complete analysis of sentences , the alternative is to perform only partial analysis of the syntactic structures in a text ( #AUTHOR_TAG ; Abney , 1991 ; Greffenstette , 1993 ) .",0
55,W01-0706,a holistic lexiconbased approach to opinion mining,,statistical parsing with a contextfree grammar and word statistics,E Charniak,"Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; #AUTHOR_TAGa ; Charniak , 1997b ; Ratnaparkhi , 1997 ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; Buchholz et al. , 1999 ; Tjong Kim Sang and Buchholz , 2000 ) .",0
56,J08-1003,a holistic lexiconbased approach to opinion mining,,speed and accuracy in shallow and deep stochastic parsing,Ron Kaplan,"Problems such as these have motivated research on more abstract , dependencybased parser evaluation ( e.g. , Lin 1995 ; Carroll , Briscoe , and Sanfilippo 1998 ; Carroll et al. 2002 ; Clark and Hockenmaier 2002 ; King et al. 2003 ; Preiss 2003 ; #AUTHOR_TAG ; Miyao and Tsujii 2004 ) .",3
57,P11-1134,a holistic lexiconbased approach to opinion mining,,statistical phrasebased translation,Philipp Koehn,They are widely used in MT as a way to figure out how to translate input in one language into output in another language ( #AUTHOR_TAG ) .,0
58,J04-3001,a holistic lexiconbased approach to opinion mining,,elements of information theory,Thomas M Cover,"Further details about the properties of entropy can be found in textbooks on information theory ( e.g. , #AUTHOR_TAG ) .",0
59,J06-2002,a holistic lexiconbased approach to opinion mining,,computational interpretations of the gricean maximes in the generation of referring expressions,Robbert Dale,"#AUTHOR_TAG , for example , discussed the transcripts of a dialogue between people who assemble a piece of garden furniture ( originally recorded by Candy Sidner ) .",0
60,J10-3007,a holistic lexiconbased approach to opinion mining,,nonlinear programming 2nd edition athena scientific,Dimitri P Bertsekas,"Here , PV ( A ) represents an ascent direction chosen as follows : For inequality constraints , it is the projected gradient ( #AUTHOR_TAG ) ; for equality constraints with slack , we use conjugate gradient ( Nocedal and Wright 1999 ) , noting that when A = 0 , the objective is not differentiable .",2
61,D12-1037,a holistic lexiconbased approach to opinion mining,,minimum error rate training in statistical machine translation,Franz Josef Och,"Some methods are based on likelihood ( Och and Ney , 2002 ; Blunsom et al. , 2008 ) , error rate ( #AUTHOR_TAG ; Zhao and Chen , 2009 ; Pauls et al. , 2009 ; Galley and Quirk , 2011 ) , margin ( Watanabe et al. , 2007 ; Chiang et al. , 2008 ) and ranking ( Hopkins and May , 2011 ) , and among which minimum error rate training ( MERT ) ( Och , 2003 ) is the most popular one .",3
62,W06-3813,a holistic lexiconbased approach to opinion mining,,pattern matching for case analysis a computational definition of closeness,Sylvain Delisle,"This idea was inspired by #AUTHOR_TAG , who used a list of arguments surrounding the main verb together with the verb 's subcategorization information and previously processed examples to analyse semantic roles ( case relations ) .",3
63,J91-2003,a holistic lexiconbased approach to opinion mining,,domain circumscription a reevaluationquot,D W Etherington,", `` domain circumscription '' ( cfXXX #AUTHOR_TAG ) , and their kin .",4
64,P07-1068,a holistic lexiconbased approach to opinion mining,,the nonutility of predicateargument frequencies for pronoun interpretation,A Kehler,"While these approaches have been reasonably successful ( see Mitkov ( 2002 ) ) , #AUTHOR_TAG speculate that deeper linguistic knowledge needs to be made available to resolvers in order to reach the next level of performance .",0
65,W01-1510,a holistic lexiconbased approach to opinion mining,,efficient ltag parsing using hpsg parsers,Naoki Yoshinaga,A parsing experiment shows that an efficient HPSG parser with the obtained grammar achieved a significant speed-up against an existing LTAG parser ( #AUTHOR_TAG ) .,4
66,N01-1003,a holistic lexiconbased approach to opinion mining,,discriminative reranking for natural language parsing,Michael Collins,"Features were discovered from the actual sentence plan trees that the SPG generated through the feature derivation process described below , in a manner similar to that used by #AUTHOR_TAG .",4
67,P13-3018,a holistic lexiconbased approach to opinion mining,,morphology and meaning in the english mental lexicon,W D Marslen-Wilson,Such questions are typically answered by designing appropriate priming experiments ( #AUTHOR_TAG ) or other lexical decision tasks .,0
68,N04-2004,a holistic lexiconbased approach to opinion mining,,derivational minimalism,Edward Stabler,"The system is in the form of an agenda-driven chart-based parser whose foundation is similar to previous formalizations of Chomsky 's Minimalist Program ( #AUTHOR_TAG ; Harkema , 2000 ; Niyogi , 2001 ) .",4
69,J87-3002,a holistic lexiconbased approach to opinion mining,,exploiting a large dictionary data base,Archibal Michiels,#AUTHOR_TAG and Akkerman et al. ( 1985 ) provide a more detailed analysis of the information encoded by the LDOCE grammar codes and discuss their efficacy as a system of linguistic description .,0
70,J87-3002,a holistic lexiconbased approach to opinion mining,,a parser for generalised phrase structure grammars,John Phillips,"The research described below is taking place in the context of three collaborative projects ( Boguraev , 1987 ; Russell et al. , 1986 ; #AUTHOR_TAG ) to develop a general-purpose , wide coverage morphological and syntactic analyser for English .",0
71,W05-0709,a holistic lexiconbased approach to opinion mining,,improving machine learning approaches to coreference resolution,V Ng,"The EDR has close ties to the named entity recognition ( NER ) and coreference resolution tasks , which have been the focus of several recent investigations ( Bikel et al. , 1997 ; Miller et al. , 1998 ; Borthwick , 1999 ; Mikheev et al. , 1999 ; Soon et al. , 2001 ; #AUTHOR_TAG ; Florian et al. , 2004 ) , and have been at the center of evaluations such as : MUC-6 , MUC-7 , and the CoNLL '02 and CoNLL '03 shared tasks .",0
72,J06-2002,a holistic lexiconbased approach to opinion mining,,situations and attitudes,Jon Barwise,"Viewed in this way , gradable adjectives are an extreme example of the `` efficiency of language '' ( #AUTHOR_TAG ) : Far from meaning something concrete like `` larger than 8 cm '' -- a concept that would have very limited applicability -- or even something more general like `` larger than the average N , '' a word like large is applicable across a wide range of different situations .",4
73,W01-0706,a holistic lexiconbased approach to opinion mining,,three generative lexicalised models for statistical parsing,M Collins,"However , since work in this direction has started , a significant progress has also been made in the research on statistical learning of full parsers , both in terms of accuracy and processing time ( Charniak , 1997b ; Charniak , 1997a ; #AUTHOR_TAG ; Ratnaparkhi , 1997 ) .",0
74,W06-1104,a holistic lexiconbased approach to opinion mining,,computing similarity,Ludovic Lebart,"It is defined on different kinds of textual units , e.g. documents , parts of a document ( e.g. words and their surrounding context ) , words or concepts ( #AUTHOR_TAG ) .2 Linguistic distance between words is inverse to their semantic similarity or relatedness .",0
75,W03-0806,a holistic lexiconbased approach to opinion mining,,english gigaword corpus catalogue number ldc2003t05,Linguistic Data Consortium,"However , the greatest increase is in the amount of raw text available to be processed , e.g. the English Gigaword Corpus ( Linguistic Data #AUTHOR_TAG ) .",0
76,W02-1601,a holistic lexiconbased approach to opinion mining,,finding structural correspondences from bilingual parsed corpus for corpusbased translation,H Watanabe,"For example , such schema can serve as a mean to represent translation examples , or find structural correspondences for the purpose of transfer grammar learning ( Menezes & Richardson , 2001 ) , ( Aramaki et al. , 2001 ) , ( #AUTHOR_TAG ) , ( Meyers et al. , 2000 ) , ( Matsumoto et al. , 1993 ) , ( kaji et al. , 1992 ) , and example-base machine translation EBMT3 ( Sato & Nagao , 1990 ) , ( Sato , 1991 ) , ( Richardson et al. , 2001 ) , ( Al-Adhaileh & Tang , 1999 ) .",0
77,D12-1037,a holistic lexiconbased approach to opinion mining,,discriminative training and maximum entropy models for statistical machine translation,Franz Josef Och,"#AUTHOR_TAG introduced the log-linear model for statistical machine translation ( SMT ) , in which translation is considered as the following optimization problem :",0
78,J92-1004,a holistic lexiconbased approach to opinion mining,,the interaction of word recognition and linguistic processing in speech understandingquot,H Niemann,"Representative systems are described in Boisen et al. ( 1989 ) , De Mattia and Giachin ( 1989 ) , Niedermair ( 1989 ) , #AUTHOR_TAG , and Young ( 1989 ) .",0
79,E12-1068,a holistic lexiconbased approach to opinion mining,,how to avoid burning ducks combining linguistic analysis and corpus statistics for german compound processing,Fabienne Fritzinger,"For compound splitting , we follow #AUTHOR_TAG , using linguistic knowledge encoded in a rule-based morphological analyser and then selecting the best analysis based on the geometric mean of word part frequencies .",2
80,E12-1068,a holistic lexiconbased approach to opinion mining,,factored translation models,Philipp Koehn,"#AUTHOR_TAG showed that the use of a POS factor only results in negligible BLEU improvements , but we need access to the POS in our inflection prediction models .",0
81,P10-4003,a holistic lexiconbased approach to opinion mining,,developing pedagogically effective tutorial dialogue tactics experiments and a testbed,Kurt VanLehn,"Over the last decade there has been a lot of interest in developing tutorial dialogue systems that understand student explanations ( Jordan et al. , 2006 ; Graesser et al. , 1999 ; Aleven et al. , 2001 ; Buckley and Wolska , 2007 ; Nielsen et al. , 2008 ; #AUTHOR_TAG ) , because high percentages of selfexplanation and student contentful talk are known to be correlated with better learning in humanhuman tutoring ( Chi et al. , 1994 ; Litman et al. , 2009 ; Purandare and Litman , 2008 ; Steinhauser et al. , 2007 ) .",0
82,J07-1005,a holistic lexiconbased approach to opinion mining,,a comparative study on feature selection in text categorization,Yiming Yang,"We first identified the most informative unigrams and bigrams using the information gain measure ( #AUTHOR_TAG ) , and then selected only the positive outcome predictors using odds ratio ( Mladenic and Grobelnik 1999 ) .",2
83,W06-1639,a holistic lexiconbased approach to opinion mining,,maxmargin markov networks,B Taskar,"Recently , several alternative , often quite sophisticated approaches to collective classification have been proposed ( Neville and Jensen , 2000 ; Lafferty et al. , 2001 ; Getoor et al. , 2002 ; Taskar et al. , 2002 ; #AUTHOR_TAG ; Taskar et al. , 2004 ; McCallum and Wellner , 2004 ) .",0
84,W04-1610,a holistic lexiconbased approach to opinion mining,,modern information retrieval,R B Yates,"It compares favorably to other stemming or root extraction algorithms ( #AUTHOR_TAG ; Al-Shalabi and Evens , 1998 ; and Houmame , 1999 ) , with a performance of over 97 % for extracting the correct root in web documents , and it addresses the challenge of the Arabic broken plural and hollow verbs .",3
85,A00-2036,a holistic lexiconbased approach to opinion mining,,a linear observed time statistical parser based on maximum entropy models,A Ratnaparkhi,"We perceive that these results can be extended to other language models that properly embed bilexical context-free grammars , as for instance the more general history-based models used in ( #AUTHOR_TAG ) and ( Chelba and Jelinek , 1998 ) .",5
86,J06-2002,a holistic lexiconbased approach to opinion mining,,projecting the adjective the syntax and semantics of gradability and comparison,Christopher Kennedy,"Clearly , what it takes for the adjective to be applicable has not been cast in stone , but is open to fiat : the speaker may decide that 8 cm is enough , or the speaker may set the standards higher ( cfXXX , #AUTHOR_TAG ) .",0
87,J90-3003,a holistic lexiconbased approach to opinion mining,,synthesis of speech from unrestricted text,J Allen,"Many investigators ( e.g. #AUTHOR_TAG ; Elowitz et al. 1976 ; Luce et al. 1983 ; Cahn 1988 ) have suggested that the poor prosody of synthetic speech , in comparison with natural speech , is the primary factor leading to difficulties in the comprehension of fluent synthetic speech .",3
88,J07-1005,a holistic lexiconbased approach to opinion mining,,customization in a unified framework for summarizing medical literature,Noemie Elhadad,"The PERSIVAL project , the most comprehensive study of such techniques applied on medical texts to date , leverages patient records to generate personalized summaries in response to physicians ' queries ( McKeown , Elhadad , and Hatzivassiloglou 2003 ; #AUTHOR_TAG ) .",4
89,J10-3007,a holistic lexiconbased approach to opinion mining,,wordbased alignment phrasebased translation whats the link,Adam Lopez,See #AUTHOR_TAG for further discussion .,0
90,D08-1007,a holistic lexiconbased approach to opinion mining,,automatic retrieval and clustering of similar words,Dekang Lin,"We gather similar words using #AUTHOR_TAGa ) , mining similar verbs from a comparable-sized parsed corpus , and collecting similar nouns from a broader 10 GB corpus of English text .4 We also use Keller and Lapata ( 2003 ) 's approach to obtaining web-counts .",2
91,J86-1002,a holistic lexiconbased approach to opinion mining,,scripts plans goals and understanding lawrence erlbaum associates,R Schank,"Thus , for example , it can acquire a `` script '' such as the one for going to a restaurant as defined in #AUTHOR_TAG .",0
